"","Mean","Median","St.Dev.","95%CI_low","95%CI_upp"
"mu1[258]",-0.24,-0.25,0.05,-0.34,-0.15
"mu1[259]",-0.44,-0.44,0.07,-0.59,-0.29
"mu1[260]",-0.31,-0.31,0.05,-0.41,-0.21
"mu1[261]",-0.31,-0.31,0.08,-0.46,-0.15
"mu1[262]",-0.03,-0.03,0.07,-0.16,0.11
"mu1[263]",0.34,0.34,0.05,0.24,0.44
"mu1[264]",-0.81,-0.81,0.09,-0.98,-0.64
"mu1[265]",0.86,0.86,0.05,0.76,0.96
"mu1[266]",0.02,0.02,0.05,-0.08,0.12
"mu1[267]",0.13,0.13,0.04,0.05,0.2
"mu1[268]",-0.15,-0.15,0.06,-0.28,-0.03
"mu1[269]",0.31,0.31,0.05,0.22,0.4
"mu1[270]",0.11,0.11,0.04,0.03,0.19
"mu1[271]",0.53,0.53,0.05,0.42,0.63
"mu1[272]",-0.57,-0.57,0.07,-0.71,-0.44
"mu1[273]",-0.02,-0.02,0.06,-0.14,0.08
"mu1[274]",0.07,0.07,0.05,-0.02,0.16
"mu1[275]",0.21,0.21,0.05,0.11,0.31
"mu1[276]",-0.12,-0.12,0.05,-0.21,-0.02
"mu1[277]",-0.32,-0.32,0.05,-0.42,-0.23
"mu1[278]",-0.76,-0.76,0.1,-0.95,-0.56
"mu1[279]",-0.01,-0.01,0.06,-0.12,0.1
"mu1[280]",0.39,0.39,0.05,0.29,0.49
"mu1[281]",0.08,0.08,0.05,-0.02,0.19
"mu1[282]",-0.67,-0.67,0.06,-0.79,-0.54
"mu1[283]",0.25,0.25,0.06,0.14,0.37
"mu1[284]",-0.02,-0.02,0.04,-0.1,0.07
"mu1[285]",0.24,0.25,0.08,0.08,0.41
"mu1[286]",0.18,0.18,0.05,0.08,0.28
"mu1[287]",-0.49,-0.49,0.08,-0.66,-0.32
"mu1[288]",0.32,0.32,0.08,0.17,0.47
"mu1[289]",-0.11,-0.11,0.04,-0.19,-0.03
"mu1[290]",0.18,0.18,0.04,0.1,0.27
"mu1[291]",0.42,0.42,0.04,0.34,0.5
"mu1[292]",0.37,0.37,0.04,0.28,0.45
"mu1[293]",0.18,0.18,0.05,0.08,0.27
"mu1[294]",0.04,0.04,0.05,-0.06,0.13
"mu1[295]",-0.01,-0.01,0.06,-0.12,0.1
"mu1[296]",-0.31,-0.31,0.08,-0.47,-0.16
"mu1[297]",-0.58,-0.58,0.06,-0.69,-0.46
"mu1[298]",0.2,0.2,0.05,0.1,0.3
"mu1[299]",0.35,0.35,0.06,0.23,0.47
"mu1[300]",-0.21,-0.21,0.06,-0.33,-0.09
"mu1[301]",-0.25,-0.25,0.06,-0.36,-0.14
"mu1[302]",0.46,0.47,0.06,0.34,0.58
"mu1[303]",0.08,0.08,0.06,-0.03,0.19
"mu1[304]",0.28,0.28,0.05,0.18,0.37
"mu1[305]",-0.11,-0.11,0.08,-0.28,0.06
"mu1[306]",-0.1,-0.1,0.06,-0.21,0.02
"mu1[307]",-0.98,-0.98,0.08,-1.13,-0.83
"mu1[308]",-0.03,-0.03,0.08,-0.19,0.12
"mu1[309]",-0.32,-0.32,0.08,-0.47,-0.17
"mu1[310]",-0.84,-0.83,0.08,-0.98,-0.69
"mu1[311]",-0.03,-0.03,0.09,-0.21,0.15
"mu1[312]",-0.16,-0.16,0.05,-0.26,-0.06
"mu1[313]",0.27,0.27,0.09,0.09,0.44
"mu1[314]",-0.13,-0.13,0.06,-0.25,-0.02
"mu1[315]",-0.5,-0.5,0.09,-0.68,-0.33
"mu1[316]",-0.31,-0.31,0.06,-0.42,-0.2
"mu1[317]",0.42,0.42,0.05,0.32,0.53
"mu1[318]",-0.12,-0.12,0.05,-0.22,-0.03
"mu1[319]",0.09,0.09,0.05,-0.01,0.19
"mu1[320]",0.43,0.43,0.05,0.33,0.53
"mu1[321]",0.08,0.08,0.06,-0.04,0.2
"mu1[322]",0,0,0.06,-0.12,0.12
"mu1[323]",-1.06,-1.06,0.09,-1.24,-0.88
"mu1[324]",-1.22,-1.22,0.08,-1.38,-1.07
"mu1[325]",0.39,0.39,0.05,0.29,0.49
"mu1[326]",-0.07,-0.07,0.05,-0.16,0.03
"mu1[327]",1.22,1.22,0.08,1.07,1.37
"mu1[328]",0.58,0.59,0.06,0.46,0.71
"mu1[329]",-0.21,-0.21,0.06,-0.32,-0.09
"mu1[330]",0.68,0.68,0.08,0.53,0.85
"mu1[331]",0.18,0.18,0.05,0.08,0.29
"mu1[332]",0.24,0.24,0.06,0.11,0.36
"mu1[333]",-1.5,-1.5,0.08,-1.67,-1.34
"mu1[334]",0.76,0.77,0.08,0.6,0.93
"mu1[335]",0.2,0.2,0.05,0.1,0.31
"mu1[336]",-0.02,-0.02,0.07,-0.15,0.11
"mu1[337]",0.64,0.64,0.06,0.53,0.76
"mu1[338]",-0.03,-0.03,0.09,-0.2,0.15
"mu1[339]",-0.05,-0.05,0.07,-0.18,0.09
"mu1[340]",0.52,0.52,0.05,0.42,0.62
"mu1[341]",0.18,0.18,0.04,0.09,0.26
